"","GeneSymbol","Initially.Assigned.Module.Color","KMEturquoise","KMEblack","KMEpink","KMEbrown","KMEblue","KMEgreen","KMEyellow","KMEmagenta","KMEred","KMEgrey"
"S100A8","S100A8","grey",-0.00212325075181868,0.0118065984154166,-0.00197734954429419,0.0223912842000078,0.00202062821322139,0.0108112263779927,0.0238354347954227,-0.00368553118521381,0.0065429464494721,0.0415537836052011
"S100A9","S100A9","grey",0.0193022589304876,0.000644469797366752,0.0159906436937942,0.0168916296845915,-0.00563583752150846,0.00771970871232923,-0.00283736016271003,0.0112514325148176,0.0209479889079644,0.0399148571225747
"SAA1","SAA1","grey",0.0719095612297816,0.000661011091624563,-0.0388683525904443,-0.0381110738338052,-0.0570861906557837,0.0998353601021279,-0.0125793868816931,-0.0199545895561666,-0.00110296693927124,0.0956199650238612
"LYZ","LYZ","grey",-0.0176555876936872,0.00972856838709185,0.0255854803659624,0.0246143682875989,0.0109795093456354,0.0215493221563745,0.012563357669037,0.0118803851510488,0.00639694076652705,0.0405091132509368
"PTX3","PTX3","green",-0.146517536552021,-0.00543164716560341,0.171584025645768,0.157782242073553,0.183294891608498,0.381439154046678,0.0176226798196825,-0.0102064775595152,0.0708440239306304,0.10571097447186
"PMEL","PMEL","grey",0.010000389799403,0.0179599019260693,0.0026284085684541,0.0296447166055269,0.00622024728353456,0.0109501972634512,0.0642945104158351,-0.0052318496578572,0.0162166513217278,0.0416040880642672
"S100A12","S100A12","grey",0.0161216722379877,-0.00510357275778466,-0.00120469946832766,0.00614201673558773,-0.0178221659125768,-0.00473037459492228,-0.00259770863156291,0.0116900421092986,0.0204981865140499,0.0296125610855498
"CCL20","CCL20","grey",-0.00703062262002512,0.00375723614992435,0.00390047202608019,-0.0023090431184761,0.00807026117149381,-0.00152844371801076,0.010974797885874,0.0225008384061908,-0.00738139424661742,0.0273178895132288
"TYRP1","TYRP1","grey",0.000193571832262955,0.0143475332813687,-0.0106228733607119,0.0213502139614102,-0.000449969896910462,0.00770829634313494,0.0503261797034299,-0.00518792029596589,0.0146366950683586,0.0534957176096464
"CXCL8","CXCL8","grey",-0.0607692876814099,0.000906503452563336,0.0846209847240864,0.095291257987415,0.0882693067517132,0.0977476354995021,0.00504217259509436,0.00353591461418435,0.0609552840927944,0.0644764244061407
"G0S2","G0S2","green",-0.152643660075551,0.00178002508758767,0.108929978515544,0.0876432862628741,0.185432898020026,0.182009490910265,0.0093848757054261,-0.0086645789295167,0.0220605855591859,0.0250064617390171
"CCL4L2","CCL4L2","red",9.29954365678859e-05,-0.000298018353629966,0.0162651324092249,0.0328252784620698,0.00599462626971849,0.0152842764960964,0.0166597029628559,0.263459007673183,0.109232621592125,0.00180546948159749
"GNLY","GNLY","red",0.0465638937891439,0.048672275240105,-0.0254232578127524,0.0197960500749534,-0.0551617230925775,-0.0176172566195538,0.0384481006118256,0.266555386724665,0.106158572960713,0.0270613264323563
"CCL19","CCL19","turquoise",0.257399087104375,-0.0212189058283354,-0.0712574289683343,-0.117158563300158,-0.175677957381142,-0.132831230451119,-0.0254308631848078,-0.00622726030548689,-0.0378035097590927,0.00941473975164679
"IL1B","IL1B","grey",-0.011994748792481,0.00550158735512048,0.00694522993642194,0.0169968070212418,0.0158776183115589,0.00742578870146988,0.0103697784655985,0.00212446411060669,0.00973245513061637,0.0372210530617387
"CCL3","CCL3","red",-0.0305712840823762,0.0169202690006057,0.0370266660399133,0.0374355666293398,0.0213345221103849,0.0565799566740462,0.0154668447920531,0.184849412873937,0.141660026200115,0.0140733430419299
"PLA2G2A","PLA2G2A","blue",-0.408661484306615,-0.130249938330906,0.192932750131864,0.0882463132219984,0.428601059445431,0.273040743359913,-0.0879499871776287,0.00306425596456986,-0.0879308153763383,-0.019635065181149
"CCL2","CCL2","grey",0.0590210694757667,0.0255862800279473,0.146367991276848,0.20749629906545,0.092249766675682,0.193094236778389,0.0640673089996794,-0.0154142150088666,0.0715749093346762,0.204214793781151
"VWF","VWF","grey",0.0487401630117744,0.00964712992788274,-0.0372882547912977,-0.00814563036052013,-0.0488345511037785,-0.0120324189278002,-0.00220588680441822,0.00514198994267023,0.00987393904003374,0.0373888498480417
"APOD","APOD","blue",-0.653788350004727,0.060826287516055,0.252872901505557,0.426048595123804,0.728047306034918,0.543954632201959,0.037565637042158,-0.0354778119338256,0.0648044566927882,0.152690827438848
"GDF15","GDF15","blue",-0.174511510484078,-0.00184522721640559,0.172144048133025,0.128629391233662,0.252766638079735,0.128890006130851,0.0490037676519561,-0.0133045978558358,0.0402695426237637,0.016931974333186
"SFRP4","SFRP4","blue",-0.358868207221069,0.0831734738629125,0.0127857906588831,0.345140457171838,0.6174144275275,0.164733950860905,0.14875684337049,-0.00918636476525926,0.0464673949026823,0.0680934016704609
"FCN1","FCN1","grey",-0.00151083696334987,-0.00587144212349264,0.00237011752296503,0.00908835671471818,0.00241475560187777,0.00212773598717688,0.0307319805295311,0.0229759831635479,-0.00142911552324786,0.0286919869524712
"CCL3L1","CCL3L1","red",-0.00378869127257013,0.0183358154526356,0.0285085633258274,0.0711989611827717,0.0221955686798651,0.0653777142741545,0.0157948706433203,0.132354880765813,0.0995944714422392,0.0367196290094974
"C1QB","C1QB","grey",-0.0336410794641229,0.000935163441000683,0.0273382211629579,0.0205802067654317,0.0427253966771016,0.0211456291338676,0.0112914497396667,0.000737996043000401,0.00793099976473956,0.0103725459777626
"HBA2","HBA2","grey",0.0434249180145297,0.0199990732289192,-0.0247794558856846,0.0188053113275519,-0.0261043571911175,0.00581780273678199,0.0130098582379623,0.0188693516626099,0.0138095977135552,0.0254451052551038
"STC1","STC1","grey",0.000250385322945775,0.00701453754577456,0.0227925485708181,0.0623613184834463,0.0208047065839796,0.0860355680677195,0.0116345955267901,-0.010253171303493,0.0265426225223573,0.0984654714787153
"IGKC","IGKC","turquoise",0.0968780907860954,0.0322939275889691,-0.0468018871215717,0.00957158334397679,-0.079759770007501,-0.00886286808842539,0.0287550793558375,0.00912235877157135,0.031638839695258,0.0601533588599702
"RNASE1","RNASE1","grey",0.00368374308533892,0.0138897842265123,0.0144927609738892,0.0186322354575975,0.00579158985556263,0.0108962845329101,0.0147700275672053,-0.000878927175108304,0.0121401314698653,0.04070626014406
"C1QA","C1QA","grey",-0.0219304697711806,-0.00373514680607875,0.0305846089814562,0.0479216670920838,0.0385997775593468,0.0302447334170412,0.0120733419747589,0.0151573957873564,0.0262159014493399,0.0379810226268295
"HBB","HBB","grey",0.0460619851402957,0.0140533046972884,-0.0443412951507305,-0.0238067789721127,-0.0554926623628279,-0.0230990514865077,0.0294437797300428,0.019960062699516,0.000106285779875442,0.0313419350929974
"IL1R2","IL1R2","grey",0.00433670123937207,0.00699507956797987,0.0265679642719491,-0.001828459581186,-0.0054605463566452,0.00944455258568156,0.00909675571325007,-0.00703323655929708,0.015443604892724,0.0451392713548432
"MYOC","MYOC","green",-0.094100528409858,0.0616250051586327,0.0993759551097768,0.108768687487062,0.138278041546615,0.215643986217928,0.0222926245523654,-0.00595031074343278,0.0247694405704938,0.0973363324166967
"HLA-DRA","HLA-DRA","grey",-0.0154130912229301,0.00991712073447295,-0.00204916827461868,0.0298197923938142,0.031784294699913,0.0401074977260468,0.0169724092324594,0.0879781254308811,0.0448980174594765,0.0268156571965926
"IL1RL1","IL1RL1","turquoise",0.114805330449448,-0.0152837528952687,0.000932864801491424,-0.0240161930181735,-0.0932176023871517,-0.0222959163001956,-0.003799444290827,0.00854952539164232,-0.00586614873667448,0.0251892806468722
"HBA1","HBA1","grey",0.0295678509961383,0.0202463417022457,-0.0146598117257907,0.00702138462045171,-0.0240881414362575,-0.0108948493912114,0.0156914314049387,0.00957333550363726,0.0374344003929826,0.0464089979744027
"EREG","EREG","grey",0.013860621326902,0.0102528625972842,0.00823305376130279,0.00517699961220039,-0.0153652631707905,0.000506143975507723,-0.00258109200073684,-0.00316721427470165,0.0125160830985929,0.0319420491033564
"THBS1","THBS1","turquoise",0.156317697835523,0.00605474496778807,0.0794528543173965,0.0472861706745442,-0.101775362003763,0.0385428772899842,-0.00439348419338191,-0.00751956911602009,0.00645477052634171,0.0656748471854724
"ACKR1","ACKR1","grey",0.0323400443534761,0.0102280993230948,-0.00736269675801214,0.0165780618853373,-0.0189663016009576,0.000917807731217583,0.0203867298818486,0.0106634733251272,0.0213048882316875,0.0418018636684118
"IFNG","IFNG","red",0.00738397611851992,0.0337173080591634,-0.0360791745839295,0.0245038870521821,-0.0302364740824985,-0.013190669284746,0.0307813756586403,0.357910437918446,0.0544665803703259,0.00925623343430196
"IGLC2","IGLC2","grey",-0.0052617714448692,-0.00999750925142345,0.0187456422752718,0.00589478010739928,0.0207280513614561,-0.00613071848172766,0.0113527906936582,-0.00262698748745957,-0.00156032295347336,0.0202500515926873
"SAA2","SAA2","grey",0.0333016017087508,0.00644707325312883,-0.0219770191055518,-0.010177850067776,-0.0263781068104916,0.060588572126183,-0.0110646743168815,-0.010202075966853,0.00324077854470709,0.0771999435726479
"VCAN","VCAN","brown",-0.165812142410607,0.0941856370323094,-0.0898463143206087,0.469288048145127,0.378291230830276,0.040919355848496,0.162289282069542,-0.011467793522666,0.0629161217069026,0.125932347898553
"IGLC3","IGLC3","grey",-0.00874912577989788,-0.0131261344973152,-0.0144542457650235,-0.0166342368990443,0.000411819839688612,-0.0140364908397821,-0.0157013624184809,-0.00303453897408083,-0.0177147194385961,0.00261770609937213
"STEAP4","STEAP4","turquoise",0.221471934190578,0.0202691714618309,0.0735279248706358,0.0570467499545693,-0.0531202411868042,0.0181565576567359,0.00872749320643341,-0.014712168105035,-0.00378654172184432,0.124751921947522
"CCL26","CCL26","blue",-0.281564645645596,0.0331674969002949,0.10770063869549,0.294905276931003,0.511647153649832,0.274935940037068,0.0937054236650397,-0.0160638573821994,0.0369107866436224,0.0694635168320789
"C1QC","C1QC","grey",-0.0196802244274797,-0.0109347913346354,0.0133865372352381,0.0262864512082883,0.0287156365489866,0.0332553207879543,0.00906258970762515,0.00371982991878049,0.00321845565313215,0.0265053937484332
"F13A1","F13A1","grey",-0.0260097546935215,-0.0161933917742688,0.015574507893823,0.018379972264559,0.0187470280997639,0.0168928525244041,0.0169571181199042,0.00329914910566881,0.0146483047210131,0.0321346998329155
"ACTA2","ACTA2","turquoise",0.175520004491087,-0.00873211385620792,0.00509516616493371,0.047478338186805,-0.0738974591967537,0.0256154635022412,0.0287854039490103,0.00478213293815406,0.00350210279188886,0.101963139560816
"VMO1","VMO1","blue",-0.339407707187894,0.022393407536049,0.257746904783503,0.199455698797761,0.407794982035499,0.458490941028121,0.00787942432071842,-0.0226428408894261,0.0614529173570913,0.12277232982116
"DCT","DCT","grey",-0.0020405801611798,0.00389852609647285,0.00581301866746486,0.0132040930539616,0.00318373861758933,-0.00273463712423398,0.0557859952535055,-0.0059560869120279,0.00253082832114875,0.0445863213112544
"HAMP","HAMP","grey",-0.0158675217777269,-0.00114166914589183,0.0191072698543192,0.00802182877646676,0.015933407489015,0.0171793002959008,0.0125661719582293,0.00803283148298253,-0.000206009279219056,0.0246490022766719
"CLDN5","CLDN5","grey",0.00805796641360029,0.0212621505965491,-0.0140652934830231,0.0110733413827397,-0.000943867284148505,0.0176084414018843,0.0140487024961291,-0.000199075591148033,0.029110887312464,0.0395198950691003
